stmv experiment
central box width 102
bar height 100
blocksize 50
orientation v
colordesc mono
contrast 2
nwaves 1
center_nwaves 3
Modified Magno Test
e_code   loc   rate   dir   Dur   ISI
101 3 8 l 200 200
11 3 8 r 200 200
11 3 8 r 200 200
11 3 8 l 200 200
11 3 8 r 200 200
11 3 8 l 200 200
100 3 0 0 500 200
11 3 8 r 200 1000
13 3 8 r 200 1000
13 3 8 r 200 1000
13 3 8 l 200 1000
13 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 l 200 500
12 3 8 r 200 500
12 3 8 r 200 1000
13 3 8 r 200 1000
100 3 0 0 500 1000
13 3 8 r 200 200
11 3 8 r 200 500
12 3 8 r 200 1000
13 3 8 l 200 1000
13 3 8 r 200 500
12 3 8 l 200 500
12 3 8 r 200 200
11 3 8 r 200 500
12 3 8 l 200 1000
13 3 8 l 200 1000
13 3 8 l 200 1000
13 3 8 l 200 1000
13 3 8 r 200 500
12 3 8 l 200 1000
100 3 0 0 500 1000
13 3 8 l 200 1000
13 3 8 l 200 1000
13 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 r 200 200
11 3 8 r 200 1000
13 3 8 r 200 1000
13 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 l 200 500
12 3 8 r 200 500
100 3 0 0 500 200
11 3 8 l 200 1000
13 3 8 l 200 500
12 3 8 r 200 500
12 3 8 r 200 1000
13 3 8 r 200 200
11 3 8 r 200 200
11 3 8 l 200 1000
13 3 8 r 200 500
12 3 8 l 200 1000
100 3 0 0 500 1000
13 3 8 r 200 1000
13 3 8 r 200 1000
13 3 8 r 200 500
12 3 8 r 200 1000
13 3 8 r 200 200
11 3 8 r 200 1000
13 3 8 l 200 200
100 3 0 0 500 200
11 3 8 l 200 500
12 3 8 l 200 500
12 3 8 r 200 500
12 3 8 r 200 200
11 3 8 l 200 500
12 3 8 r 200 500
12 3 8 l 200 500
12 3 8 l 200 500
12 3 8 l 200 1000
100 3 0 0 500 500
12 3 8 l 200 1000
13 3 8 l 200 500
12 3 8 l 200 200
11 3 8 l 200 1000
13 3 8 r 200 200
11 3 8 l 200 500
12 3 8 r 200 200
100 3 0 0 500 200
11 3 8 r 200 1000
13 3 8 r 200 500
12 3 8 r 200 500
12 3 8 l 200 200
11 3 8 r 200 500
12 3 8 l 200 500
12 3 8 l 200 200
11 3 8 l 200 200
11 3 8 r 200 1000
13 3 8 l 200 1000
13 3 8 l 200 200
11 3 8 l 200 200
11 3 8 l 200 500
12 3 8 l 200 200
100 3 0 0 500 200
11 3 8 l 200 1000
13 3 8 l 200 500
12 3 8 r 200 200
11 3 8 r 200 200
11 3 8 r 200 500
12 3 8 r 200 200
11 3 8 r 200 500
12 3 8 l 200 1000
13 3 8 r 200 1000
100 3 0 0 500 500
12 3 8 l 200 500
12 3 8 r 200 1000
13 3 8 r 200 200
11 3 8 r 200 1000
13 3 8 r 200 200
11 3 8 l 200 200
11 3 8 r 200 500
100 3 0 0 500 500
12 3 8 l 200 500
12 3 8 l 200 1000
13 3 8 l 200 1000
13 3 8 l 200 200
11 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 l 200 200
100 3 0 0 500 500
12 3 8 l 200 500
12 3 8 l 200 500
12 3 8 r 200 1000
13 3 8 r 200 200
11 3 8 r 200 500
12 3 8 l 200 200
11 3 8 l 200 200
11 3 8 l 200 200
100 3 0 0 500 500
12 3 8 l 200 500
12 3 8 l 200 200
11 3 8 l 200 200
11 3 8 l 200 200
11 3 8 r 200 200
11 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 l 200 1000
13 3 8 l 200 200
11 3 8 r 200 200
11 3 8 r 200 1000
13 3 8 l 200 500
12 3 8 l 200 500
12 3 8 l 200 500
100 3 0 0 500 200
11 3 8 r 200 200
11 3 8 l 200 200
11 3 8 l 200 500
12 3 8 l 200 200
11 3 8 r 200 200
11 3 8 l 200 1000
13 3 8 r 200 500
12 3 8 r 200 200
